,market,account_type,funnel,ds,region,X,y,key_0,weekday_or_weekend,Month of Ds,floor,AOV,ROAS,cap
0,Italy,Desktop,-,2022-01-01,Europe,2642.64,13.0,,1,January,0,38.5,1.9,130.416
1,Italy,Desktop,-,2022-01-02,Europe,5129.340000000001,75.0,,1,January,0,38.5,1.9,253.13625974025976
2,Italy,Desktop,-,2022-01-03,Europe,25055.28,510.0,,0,January,0,38.5,1.9,1236.4943376623376
3,Italy,Desktop,-,2022-01-04,Europe,27982.730000000003,502.0,,0,January,0,38.5,1.9,1380.9658961038963
4,Italy,Desktop,-,2022-01-05,Europe,27271.87,420.0,,0,January,0,38.5,1.9,1345.8844935064933
5,Italy,Desktop,-,2022-01-06,Europe,21609.28,86.0,,0,January,0,38.5,1.9,1066.432
6,Italy,Desktop,-,2022-01-07,Europe,20291.430000000004,288.0,,0,January,0,38.5,1.9,1001.3952467532469
7,Italy,Desktop,-,2022-01-08,Europe,7385.5,62.0,,1,January,0,38.5,1.9,364.4792207792207
8,Italy,Desktop,-,2022-01-09,Europe,6741.259999999999,96.0,,1,January,0,38.5,1.9,332.6855584415584
9,Italy,Desktop,-,2022-01-10,Europe,32510.140000000007,808.0,,0,January,0,38.5,1.9,1604.3965194805198
10,Italy,Desktop,-,2022-01-11,Europe,29449.980000000003,773.0,,0,January,0,38.5,1.9,1453.3756363636364
11,Italy,Desktop,-,2022-01-12,Europe,27418.85,703.0,,0,January,0,38.5,1.9,1353.1380519480517
12,Italy,Desktop,-,2022-01-13,Europe,26546.500000000004,625.0,,0,January,0,38.5,1.9,1310.0870129870132
13,Italy,Desktop,-,2022-01-14,Europe,22008.6,565.0,,0,January,0,38.5,1.9,1086.138701298701
14,Italy,Desktop,-,2022-01-15,Europe,5870.869999999999,53.0,,1,January,0,38.5,1.9,289.7312467532467
15,Italy,Desktop,-,2022-01-16,Europe,6271.780000000001,75.0,,1,January,0,38.5,1.9,309.5164155844156
16,Italy,Desktop,-,2022-01-17,Europe,30562.120000000003,753.0,,0,January,0,38.5,1.9,1508.2604675324676
17,Italy,Desktop,-,2022-01-18,Europe,29976.660000000003,707.0,,0,January,0,38.5,1.9,1479.3676363636364
18,Italy,Desktop,-,2022-01-19,Europe,27441.669999999995,659.0,,0,January,0,38.5,1.9,1354.2642337662335
19,Italy,Desktop,-,2022-01-20,Europe,26981.35,581.0,,0,January,0,38.5,1.9,1331.5471428571427
20,Italy,Desktop,-,2022-01-21,Europe,22172.889999999996,612.0,,0,January,0,38.5,1.9,1094.246519480519
21,Italy,Desktop,-,2022-01-22,Europe,6210.079999999999,65.0,,1,January,0,38.5,1.9,306.47148051948045
22,Italy,Desktop,-,2022-01-23,Europe,5491.360000000001,113.0,,1,January,0,38.5,1.9,271.00218181818184
