,market,account_type,funnel,ds,region,X,y,weekday_or_weekend,Month of Ds,floor,AOV,ROAS,cap
0,UK,Desktop,-,2022-01-01,Europe,2809.5,58.0,1,January,0,23.28,1.98,238.95231958762886
1,UK,Desktop,-,2022-01-02,Europe,5463.95,119.0,1,January,0,23.28,1.98,464.7173969072164
2,UK,Desktop,-,2022-01-03,Europe,25055.28,428.0,0,January,0,23.28,1.98,2130.99030927835
3,UK,Desktop,-,2022-01-04,Europe,27982.730000000003,1521.0,0,January,0,23.28,1.98,2379.9744587628866
4,UK,Desktop,-,2022-01-05,Europe,27271.870000000003,1346.0,0,January,0,23.28,1.98,2319.5147164948453
5,UK,Desktop,-,2022-01-06,Europe,21609.280000000006,1343.0,0,January,0,23.28,1.98,1837.9026804123716
6,UK,Desktop,-,2022-01-07,Europe,20291.43,1023.0,0,January,0,23.28,1.98,1725.8174999999999
7,UK,Desktop,-,2022-01-08,Europe,7445.1900000000005,215.0,1,January,0,23.28,1.98,633.2249226804124
8,UK,Desktop,-,2022-01-09,Europe,6769.319999999999,280.0,1,January,0,23.28,1.98,575.7411340206185
9,UK,Desktop,-,2022-01-10,Europe,32510.14,1568.0,0,January,0,23.28,1.98,2765.037680412371
10,UK,Desktop,-,2022-01-11,Europe,29449.980000000003,1280.0,0,January,0,23.28,1.98,2504.7663402061858
11,UK,Desktop,-,2022-01-12,Europe,27418.85,1276.0,0,January,0,23.28,1.98,2332.015592783505
12,UK,Desktop,-,2022-01-13,Europe,26546.500000000007,1371.0,0,January,0,23.28,1.98,2257.82087628866
13,UK,Desktop,-,2022-01-14,Europe,22008.6,1005.0,0,January,0,23.28,1.98,1871.8654639175256
14,UK,Desktop,-,2022-01-15,Europe,5845.28,180.0,1,January,0,23.28,1.98,497.15010309278347
15,UK,Desktop,-,2022-01-16,Europe,6271.78,272.0,1,January,0,23.28,1.98,533.4245876288659
16,UK,Desktop,-,2022-01-17,Europe,30562.120000000003,1417.0,0,January,0,23.28,1.98,2599.355567010309
17,UK,Desktop,-,2022-01-18,Europe,29976.660000000003,1373.0,0,January,0,23.28,1.98,2549.561288659794
18,UK,Desktop,-,2022-01-19,Europe,26541.42,1273.0,0,January,0,23.28,1.98,2257.3888144329894
19,UK,Desktop,-,2022-01-20,Europe,26981.349999999995,1310.0,0,January,0,23.28,1.98,2294.8055412371127
20,UK,Desktop,-,2022-01-21,Europe,22172.89,1091.0,0,January,0,23.28,1.98,1885.8385824742265
21,UK,Desktop,-,2022-01-22,Europe,6210.08,165.0,1,January,0,23.28,1.98,528.1769072164948
22,UK,Desktop,-,2022-01-23,Europe,5491.36,296.0,1,January,0,23.28,1.98,467.0486597938144
23,UK,Desktop,-,2022-01-24,Europe,28915.589999999997,1513.0,0,January,0,23.28,1.98,2459.3156443298963
24,UK,Desktop,-,2022-01-25,Europe,20248.359999999997,1318.0,0,January,0,23.28,1.98,1722.1543298969068
25,UK,Desktop,-,2022-01-26,Europe,18169.11,1410.0,0,January,0,23.28,1.98,1545.3109020618556
26,UK,Desktop,-,2022-01-27,Europe,17530.170000000006,1294.0,0,January,0,23.28,1.98,1490.9680670103096
27,UK,Desktop,-,2022-01-28,Europe,15284.360000000006,1106.0,0,January,0,23.28,1.98,1299.958453608248
28,UK,Desktop,-,2022-01-29,Europe,4310.32,196.0,1,January,0,23.28,1.98,366.5993814432989
29,UK,Desktop,-,2022-01-30,Europe,4062.67,281.0,1,January,0,23.28,1.98,345.5363659793814
