,market,account_type,funnel,ds,region,X,y,weekday_or_weekend,Month of Ds,floor,AOV,ROAS,cap
0,UK,Desktop,-,2022-01-01,Europe,2717.2,58.0,1,January,0,23.28,1.98,231.1020618556701
1,UK,Desktop,-,2022-01-02,Europe,5409.689999999999,119.0,1,January,0,23.28,1.98,460.10249999999985
2,UK,Desktop,-,2022-01-03,Europe,24838.469999999998,428.0,0,January,0,23.28,1.98,2112.5502835051543
3,UK,Desktop,-,2022-01-04,Europe,27116.489999999998,1521.0,0,January,0,23.28,1.98,2306.2994072164947
4,UK,Desktop,-,2022-01-05,Europe,26578.510000000006,1346.0,0,January,0,23.28,1.98,2260.54337628866
5,UK,Desktop,-,2022-01-06,Europe,21128.280000000002,1343.0,0,January,0,23.28,1.98,1796.9928865979382
6,UK,Desktop,-,2022-01-07,Europe,19769.22,1023.0,0,January,0,23.28,1.98,1681.4027319587628
7,UK,Desktop,-,2022-01-08,Europe,7123.01,215.0,1,January,0,23.28,1.98,605.8230154639175
8,UK,Desktop,-,2022-01-09,Europe,6615.27,280.0,1,January,0,23.28,1.98,562.6389432989691
9,UK,Desktop,-,2022-01-10,Europe,31985.110000000008,1568.0,0,January,0,23.28,1.98,2720.38306701031
10,UK,Desktop,-,2022-01-11,Europe,28903.719999999994,1280.0,0,January,0,23.28,1.98,2458.306082474226
11,UK,Desktop,-,2022-01-12,Europe,26916.17,1276.0,0,January,0,23.28,1.98,2289.2618814432985
12,UK,Desktop,-,2022-01-13,Europe,26047.879999999994,1371.0,0,January,0,23.28,1.98,2215.4124742268036
13,UK,Desktop,-,2022-01-14,Europe,21603.71,1005.0,0,January,0,23.28,1.98,1837.4289432989688
14,UK,Desktop,-,2022-01-15,Europe,5612.380000000002,180.0,1,January,0,23.28,1.98,477.34159793814445
15,UK,Desktop,-,2022-01-16,Europe,6115.539999999999,272.0,1,January,0,23.28,1.98,520.1361340206184
16,UK,Desktop,-,2022-01-17,Europe,29995.65,1417.0,0,January,0,23.28,1.98,2551.176417525773
17,UK,Desktop,-,2022-01-18,Europe,29447.879999999997,1373.0,0,January,0,23.28,1.98,2504.5877319587626
18,UK,Desktop,-,2022-01-19,Europe,26074.440000000002,1273.0,0,January,0,23.28,1.98,2217.6714432989693
19,UK,Desktop,-,2022-01-20,Europe,26455.7,1310.0,0,January,0,23.28,1.98,2250.0981958762886
20,UK,Desktop,-,2022-01-21,Europe,21670.379999999997,1091.0,0,January,0,23.28,1.98,1843.099329896907
21,UK,Desktop,-,2022-01-22,Europe,5898.900000000001,165.0,1,January,0,23.28,1.98,501.71056701030926
22,UK,Desktop,-,2022-01-23,Europe,5347.66,296.0,1,January,0,23.28,1.98,454.82675257731955
23,UK,Desktop,-,2022-01-24,Europe,28293.219999999998,1513.0,0,January,0,23.28,1.98,2406.382113402062
24,UK,Desktop,-,2022-01-25,Europe,19763.18,1318.0,0,January,0,23.28,1.98,1680.8890206185567
25,UK,Desktop,-,2022-01-26,Europe,17849.870000000003,1410.0,0,January,0,23.28,1.98,1518.1590463917528
26,UK,Desktop,-,2022-01-27,Europe,16880.449999999997,1294.0,0,January,0,23.28,1.98,1435.7083762886596
27,UK,Desktop,-,2022-01-28,Europe,14683.460000000003,1106.0,0,January,0,23.28,1.98,1248.8509793814435
28,UK,Desktop,-,2022-01-29,Europe,3984.1200000000003,196.0,1,January,0,23.28,1.98,338.8555670103093
29,UK,Desktop,-,2022-01-30,Europe,3881.2599999999993,281.0,1,January,0,23.28,1.98,330.1071649484535
30,UK,Desktop,-,2022-01-31,Europe,26265.44,1649.0,0,January,0,23.28,1.98,2233.9162886597937
31,UK,Desktop,-,2022-02-01,Europe,29102.08,1481.0,0,February,0,23.28,1.98,2475.176907216495
32,UK,Desktop,-,2022-02-02,Europe,27547.930000000008,1466.0,0,February,0,23.28,1.98,2342.9940463917533
33,UK,Desktop,-,2022-02-03,Europe,23460.239999999998,1456.0,0,February,0,23.28,1.98,1995.3296907216493
34,UK,Desktop,-,2022-02-04,Europe,15201.68,1125.0,0,February,0,23.28,1.98,1292.9263917525773
35,UK,Desktop,-,2022-02-05,Europe,1502.02,135.0,1,February,0,23.28,1.98,127.7491237113402
36,UK,Desktop,-,2022-02-06,Europe,1631.32,262.0,1,February,0,23.28,1.98,138.7462886597938
